time,water_levelObs,water_levelFcst
9/26/2024 9:07,3.20055,
9/26/2024 10:01,3.55332,
9/26/2024 11:08,3.48867,
9/26/2024 12:59,3.47877,
9/26/2024 14:12,3.27651,
9/26/2024 15:08,3.12481,
9/26/2024 15:58,3.02359,
9/26/2024 17:11,2.7984,
9/26/2024 18:06,3.04109,
9/26/2024 19:02,3.60938,
9/26/2024 20:11,4.03083,
9/26/2024 21:07,4.75963,
9/26/2024 22:02,5.49302,
9/26/2024 23:09,6.32722,
9/26/2024 23:56,6.92762,
9/27/2024 0:10,7.27571,
9/27/2024 1:08,7.27075,
9/27/2024 2:05,6.70171,
9/27/2024 2:59,6.09602,
9/27/2024 4:08,5.29302,
9/27/2024 5:08,4.62308,
9/27/2024 5:59,4.0816,
9/27/2024 7:07,3.46664,
9/27/2024 8:00,2.99394,
9/27/2024 9:10,2.80546,
9/27/2024 10:05,2.50701,
9/27/2024 11:01,2.27735,
9/27/2024 12:08,2.02009,
9/27/2024 13:04,1.58865,
9/27/2024 13:59,1.19389,
9/27/2024 15:13,0.88156,
9/27/2024 16:06,0.52809,
9/27/2024 17:04,0.26632,
9/27/2024 18:13,0.07325,
9/27/2024 19:08,0.16461,
9/27/2024 20:00,0.38439,
9/27/2024 21:07,0.73707,
9/27/2024 22:11,1.21818,
9/27/2024 23:06,1.66723,
9/28/2024 0:10,2.07497,
9/28/2024 1:55,2.32224,
9/28/2024 2:01,2.46404,
9/28/2024 3:10,2.37645,
9/28/2024 4:05,2.25227,
9/28/2024 5:14,2.08681,
9/28/2024 6:10,1.89833,
9/28/2024 7:04,1.80167,
9/28/2024 7:59,1.7371,
9/28/2024 9:09,,1.79626
9/28/2024 10:02,,1.99769
9/28/2024 10:56,,2.02944
9/28/2024 12:05,,2.03816
9/28/2024 13:03,,1.79014
9/28/2024 13:58,,1.50086
9/28/2024 15:06,,0.99597
9/28/2024 16:05,,0.48653
9/28/2024 16:53,,0.02763
9/28/2024 18:08,,-0.19299
9/28/2024 19:03,,-0.34928
9/28/2024 19:59,,-0.30378
9/28/2024 21:10,,-0.07496
9/28/2024 22:04,,0.27322
9/28/2024 22:53,,0.62143
9/29/2024 0:09,,0.81354
9/29/2024 0:58,,1.00583
9/29/2024 2:10,,1.0558
9/29/2024 3:03,,0.98208
9/29/2024 4:01,,0.79368
9/29/2024 5:04,,0.64192
9/29/2024 6:02,,0.49021
9/29/2024 7:03,,0.48063
9/29/2024 7:54,,0.58577
9/29/2024 9:10,,0.8054
9/29/2024 9:55,,1.05733
9/29/2024 11:07,,1.31367
9/29/2024 12:02,,1.40961
9/29/2024 13:00,,1.47344
9/29/2024 14:09,,1.24368
9/29/2024 14:59,,0.94527
9/29/2024 15:54,,0.54134
9/29/2024 17:06,,0.09604
9/29/2024 18:01,,-0.18865
9/29/2024 18:55,,-0.4504
9/29/2024 20:12,,-0.44633
9/29/2024 20:59,,-0.28155
9/29/2024 21:59,,0.02074
9/29/2024 23:04,,0.34591
9/30/2024 0:00,,0.61611
9/30/2024 0:55,,0.83587
9/30/2024 2:03,,0.94091
9/30/2024 2:58,,0.85341
9/30/2024 3:56,,0.64208
9/30/2024 5:05,,0.37105
9/30/2024 6:03,,0.14596
9/30/2024 6:54,,0.01722
9/30/2024 8:01,,0.01678
9/30/2024 9:14,,0.22275
9/30/2024 9:52,,0.5205
9/30/2024 11:06,,0.83186
9/30/2024 12:01,,1.125
9/30/2024 12:49,,1.30812
9/30/2024 14:02,,1.29388
9/30/2024 14:58,,1.1376
9/30/2024 15:55,,0.82079
9/30/2024 16:59,,0.40305
9/30/2024 17:58,,-0.00549
9/30/2024 18:52,,-0.28558
9/30/2024 19:59,,-0.42819
9/30/2024 20:53,,-0.31389
9/30/2024 21:54,,-0.06207
9/30/2024 23:01,,0.28602
9/30/2024 23:57,,0.63418
10/1/2024 1:08,,0.87677
10/1/2024 2:04,,0.99105
10/1/2024 2:53,,0.94945
10/1/2024 4:07,,0.71509
10/1/2024 5:00,,0.38455
10/1/2024 5:54,,0.08153
10/1/2024 7:01,,-0.13904
10/1/2024 7:57,,-0.25864
10/1/2024 8:56,,-0.13521
10/1/2024 10:09,,0.11195
10/1/2024 11:01,,0.46931
10/1/2024 11:54,,0.81749
10/1/2024 13:04,,1.10136
10/1/2024 13:59,,1.23858
10/1/2024 14:57,,1.18775
10/1/2024 16:04,,0.9626
10/1/2024 17:02,,0.65955
10/1/2024 17:53,,0.26482
10/1/2024 19:03,,-0.08875
10/1/2024 20:00,,-0.25423
